                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9687,                 2.6867,                 2.0686,                 1.8549,                 3.5473,                 1.9091,                0.37636,                0.41603,                0.35717,                0.15809,                 1.8108,                 1.8461,                 1.7866,                 1.7782,                 2.2637,                  1.726,              0.0033071,              0.0033071,              0.0033071
                      2,                 1.7793,                 1.6888,                 1.7416,                 1.7632,                 1.9739,                 1.6905,                0.38322,                0.46571,                0.39861,                0.17436,                 1.7712,                 2.0385,                 1.6934,                 1.7732,                 2.3126,                 1.6879,              0.0066338,              0.0066338,              0.0066338
                      3,                 1.7793,                 1.6239,                 1.7022,                 1.7817,                 1.8893,                 1.6783,                0.32466,                0.34688,                0.27147,                0.10104,                 2.1685,                 3.1836,                 2.0431,                 2.1626,                 3.5079,                 2.0083,               0.009954,               0.009954,               0.009954
                      4,                 1.8061,                 1.6142,                 1.7142,                  1.817,                 1.8808,                 1.6925,                0.36512,                0.32033,                0.26177,                0.10837,                 2.0097,                 2.1954,                 1.9459,                 2.0132,                 2.5537,                 1.9424,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.7549,                 1.5174,                 1.6911,                 1.7718,                 1.7636,                 1.6811,                0.47904,                0.48385,                0.46008,                0.21319,                 1.7119,                 1.8421,                 1.7013,                 1.7788,                 2.1198,                 1.7313,              0.0099703,              0.0099703,              0.0099703
                      6,                  1.731,                  1.418,                 1.6599,                 1.7538,                 1.6478,                 1.6599,                0.59835,                0.50132,                0.54218,                0.24772,                 1.6894,                 1.3774,                 1.6373,                 1.7312,                 1.5022,                 1.6674,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7027,                  1.349,                 1.6507,                 1.7372,                 1.5458,                 1.6584,                0.55347,                0.54981,                0.56561,                0.26642,                 1.6412,                 1.3838,                 1.6267,                 1.6936,                 1.4939,                 1.6588,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.6751,                  1.328,                 1.6351,                 1.7122,                 1.5188,                 1.6471,                0.60964,                0.57288,                0.59587,                0.28429,                 1.6137,                 1.2788,                 1.5844,                 1.6584,                 1.3638,                 1.6076,              0.0099406,              0.0099406,              0.0099406
                      9,                  1.663,                 1.2787,                 1.6185,                 1.7046,                 1.4552,                 1.6335,                0.63255,                  0.627,                0.64403,                0.29796,                 1.6262,                 1.1372,                 1.5929,                 1.6904,                 1.1815,                 1.6448,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6407,                 1.2433,                 1.5989,                 1.6859,                 1.4116,                 1.6174,                0.64477,                0.61597,                0.64965,                0.30306,                 1.6358,                 1.1519,                 1.5867,                 1.6822,                 1.1935,                 1.6094,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.6297,                 1.2213,                 1.5988,                 1.6752,                  1.381,                 1.6191,                0.66526,                0.63425,                0.68162,                0.32663,                 1.5726,                 1.1006,                 1.5573,                 1.6314,                 1.1357,                    1.6,              0.0099109,              0.0099109,              0.0099109
                     12,                  1.604,                 1.1833,                 1.5785,                 1.6486,                 1.3357,                 1.6055,                0.64168,                0.64323,                0.68076,                0.32602,                 1.5891,                 1.0801,                 1.5683,                 1.6422,                 1.1196,                 1.6012,               0.009901,               0.009901,               0.009901
                     13,                 1.5978,                 1.1473,                 1.5552,                 1.6463,                 1.2945,                 1.5814,                0.70708,                0.64786,                0.70483,                0.33415,                 1.6149,                 1.0513,                 1.5656,                 1.6608,                 1.0704,                 1.5929,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.5701,                  1.125,                 1.5475,                 1.6215,                 1.2599,                 1.5733,                0.66678,                0.67395,                0.70371,                0.33609,                 1.5835,                 1.0342,                 1.5578,                 1.6283,                 1.0827,                 1.5905,              0.0098812,              0.0098812,              0.0098812
                     15,                  1.574,                  1.121,                 1.5441,                 1.6221,                 1.2611,                 1.5701,                0.67683,                0.67821,                0.71225,                0.34531,                 1.5645,                 1.0017,                 1.5307,                 1.6205,                 1.0241,                 1.5835,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.5531,                 1.0926,                 1.5345,                 1.6055,                 1.2181,                 1.5735,                0.67006,                0.68572,                0.71463,                0.35323,                 1.5563,                0.99197,                 1.5182,                 1.6013,                 1.0249,                 1.5535,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.5439,                 1.0776,                 1.5279,                 1.5986,                 1.2014,                 1.5635,                0.70695,                0.67983,                0.72755,                0.35934,                 1.5634,                0.98775,                 1.5373,                 1.6075,                 1.0094,                 1.5842,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.5348,                 1.0719,                 1.5269,                 1.5859,                 1.1951,                 1.5643,                0.69844,                0.70098,                  0.741,                0.36911,                 1.5492,                0.95492,                  1.515,                 1.5843,                0.98389,                 1.5548,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.5266,                 1.0386,                 1.5093,                 1.5815,                 1.1528,                 1.5478,                0.70357,                0.68682,                0.73534,                0.35262,                 1.5763,                0.95872,                 1.5192,                 1.6358,                0.97794,                 1.5774,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.5158,                  1.028,                 1.5001,                 1.5733,                 1.1405,                 1.5401,                0.73522,                 0.6877,                0.75085,                0.37023,                 1.5452,                0.94542,                 1.5173,                 1.5913,                0.96477,                 1.5569,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.5074,                 1.0089,                 1.5033,                 1.5632,                  1.119,                 1.5395,                0.72236,                0.67755,                0.74558,                0.37083,                 1.5422,                0.93901,                 1.5212,                 1.5928,                0.95503,                 1.5677,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.4941,                 1.0054,                 1.4838,                 1.5515,                 1.1147,                 1.5261,                0.70761,                0.72092,                0.75501,                0.37953,                 1.5366,                0.92692,                 1.5039,                 1.5741,                0.97446,                  1.538,               0.009802,               0.009802,               0.009802
                     23,                 1.5024,                 1.0143,                 1.4902,                 1.5557,                 1.1203,                 1.5294,                  0.736,                0.71253,                0.76181,                0.38181,                 1.5486,                0.92105,                 1.5145,                 1.5901,                0.93066,                 1.5528,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4905,                0.98324,                 1.4887,                 1.5431,                 1.0854,                 1.5288,                0.71731,                0.71039,                0.75445,                0.38219,                 1.5308,                0.92403,                 1.5021,                 1.5752,                0.94423,                  1.542,              0.0097822,              0.0097822,              0.0097822
                     25,                  1.496,                 0.9797,                 1.4808,                  1.551,                 1.0833,                 1.5219,                0.70676,                0.72554,                0.75788,                0.37851,                 1.5493,                0.91378,                 1.5223,                 1.5947,                0.93811,                 1.5647,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4719,                0.95814,                 1.4674,                 1.5311,                 1.0592,                   1.51,                0.72578,                0.72091,                0.76142,                0.38513,                 1.5316,                0.91665,                 1.5246,                 1.5729,                0.95047,                 1.5648,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.4798,                0.96837,                  1.478,                 1.5352,                 1.0643,                 1.5163,                0.72284,                0.71679,                0.75681,                0.37802,                 1.5479,                0.91984,                 1.5028,                 1.5974,                0.95073,                 1.5418,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.4581,                0.94801,                 1.4595,                 1.5193,                 1.0343,                 1.5027,                0.72467,                0.71229,                0.76363,                0.38475,                 1.5263,                0.91036,                 1.5143,                  1.569,                 0.9252,                 1.5534,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.4706,                0.95796,                 1.4702,                 1.5266,                 1.0589,                 1.5099,                 0.7483,                0.71299,                0.77655,                0.38811,                  1.537,                0.90043,                 1.5023,                 1.5776,                0.92849,                 1.5405,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.4571,                0.94194,                 1.4633,                 1.5107,                 1.0404,                 1.4963,                0.73275,                0.72301,                0.77636,                0.39157,                 1.5231,                0.87704,                 1.4988,                 1.5795,                0.89473,                 1.5417,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.4594,                0.94274,                 1.4692,                 1.5117,                 1.0409,                  1.505,                0.73031,                 0.7062,                 0.7595,                0.37946,                 1.5398,                0.89478,                 1.5105,                 1.5781,                0.92637,                 1.5529,              0.0097129,              0.0097129,              0.0097129
                     32,                   1.44,                 0.9214,                 1.4487,                 1.4964,                 1.0139,                 1.4928,                0.73138,                0.73074,                0.77284,                0.38647,                  1.538,                0.87924,                 1.5125,                  1.583,                0.90785,                 1.5567,               0.009703,               0.009703,               0.009703
                     33,                 1.4385,                0.91115,                 1.4487,                 1.4929,                 1.0001,                 1.4948,                0.75252,                0.71126,                0.77335,                0.38706,                 1.5292,                0.87541,                 1.5113,                 1.5677,                0.91241,                 1.5485,              0.0096931,              0.0096931,              0.0096931
                     34,                  1.433,                0.90304,                 1.4403,                 1.4938,                0.99004,                 1.4849,                0.74161,                0.70935,                0.76974,                0.38656,                 1.5397,                0.88357,                 1.5026,                 1.5799,                0.91211,                 1.5374,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4333,                 0.8957,                 1.4413,                 1.4892,                0.96882,                 1.4791,                0.75752,                0.72219,                0.77476,                0.39361,                  1.527,                0.87485,                 1.5048,                  1.575,                0.89851,                 1.5478,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.4292,                0.89457,                 1.4372,                 1.4847,                0.97757,                  1.476,                0.72797,                0.72602,                0.76515,                0.38993,                 1.5489,                0.87171,                 1.5271,                 1.5841,                0.91562,                 1.5578,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4246,                0.88686,                 1.4429,                 1.4814,                0.96631,                 1.4808,                0.71514,                0.74639,                0.77217,                 0.3924,                 1.5347,                0.86913,                 1.5142,                 1.5709,                0.90364,                 1.5405,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.4148,                0.88537,                   1.44,                 1.4737,                0.97269,                 1.4722,                0.73782,                0.73773,                0.77727,                0.39313,                 1.5317,                0.85892,                 1.5164,                 1.5749,                 0.8883,                 1.5412,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4066,                 0.8703,                 1.4268,                 1.4656,                0.94392,                 1.4681,                0.73625,                 0.7211,                0.77146,                0.39225,                 1.5408,                0.85148,                 1.5061,                 1.5827,                0.90086,                 1.5457,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4271,                0.87838,                  1.434,                 1.4835,                0.95822,                 1.4699,                0.74617,                0.74832,                 0.7803,                0.39732,                 1.5296,                0.85684,                 1.5016,                 1.5648,                0.88576,                 1.5332,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4156,                0.87421,                 1.4282,                 1.4682,                0.95009,                 1.4602,                0.74825,                0.73831,                0.78258,                0.39723,                 1.5348,                 0.8535,                 1.5101,                 1.5712,                 0.8911,                 1.5382,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.4101,                0.87027,                 1.4364,                 1.4667,                0.94456,                 1.4784,                 0.7482,                0.73688,                 0.7849,                0.39764,                 1.5352,                0.85067,                 1.5157,                 1.5788,                0.88086,                 1.5575,               0.009604,               0.009604,               0.009604
                     43,                 1.4048,                0.86867,                 1.4269,                   1.46,                0.94851,                 1.4656,                0.75358,                 0.7273,                0.78275,                0.39832,                  1.534,                0.85236,                 1.5128,                 1.5769,                0.88591,                 1.5552,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3998,                0.85448,                 1.4212,                 1.4604,                0.92852,                 1.4592,                0.76727,                0.72995,                0.78715,                0.39861,                 1.5404,                0.84056,                 1.5206,                  1.576,                0.88476,                 1.5452,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3897,                 0.8562,                 1.4155,                 1.4433,                 0.9283,                 1.4532,                 0.7353,                0.75755,                0.79223,                0.40665,                  1.522,                0.82881,                  1.499,                 1.5571,                0.86051,                 1.5306,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3927,                0.84844,                 1.4168,                 1.4493,                0.92361,                 1.4528,                0.75254,                0.75089,                0.78911,                0.39746,                 1.5344,                0.83316,                 1.5039,                 1.5724,                0.85991,                 1.5314,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.3969,                0.85001,                 1.4139,                 1.4534,                0.91778,                 1.4498,                0.74819,                0.74846,                0.79388,                0.40115,                 1.5267,                0.83359,                  1.518,                  1.561,                0.86875,                 1.5442,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3833,                 0.8381,                 1.4199,                  1.437,                0.91152,                 1.4574,                0.74247,                0.76792,                0.79651,                0.40403,                 1.5355,                0.83748,                 1.5123,                 1.5711,                0.85643,                 1.5402,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3883,                0.84024,                 1.4184,                 1.4446,                0.91217,                 1.4547,                 0.7532,                0.73955,                0.77987,                0.39875,                 1.5421,                0.82762,                 1.5131,                 1.5695,                0.86959,                 1.5376,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.3672,                 0.8218,                 1.3905,                 1.4216,                0.89145,                 1.4225,                0.75731,                0.74709,                 0.7924,                0.40244,                  1.536,                 0.8385,                 1.5047,                 1.5673,                0.87437,                 1.5258,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3782,                0.82663,                 1.4034,                 1.4332,                0.89874,                 1.4321,                0.76092,                0.73816,                0.79157,                0.40569,                 1.5253,                0.84313,                 1.5059,                 1.5565,                0.88807,                 1.5232,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.3868,                0.82784,                 1.4099,                 1.4385,                0.90068,                 1.4376,                0.75066,                0.74005,                0.78097,                0.40114,                 1.5453,                 0.8367,                 1.5119,                 1.5764,                0.88287,                 1.5236,               0.009505,               0.009505,               0.009505
                     53,                 1.3653,                0.81614,                 1.3979,                 1.4187,                0.89005,                 1.4249,                0.74895,                0.75051,                0.78397,                0.40024,                 1.5355,                0.83653,                 1.5148,                 1.5722,                0.88663,                 1.5363,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.3671,                0.81555,                 1.3955,                  1.424,                0.88684,                 1.4257,                0.76573,                0.73851,                0.79114,                0.40648,                  1.535,                0.82979,                  1.509,                 1.5613,                0.89546,                 1.5272,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.3614,                0.81636,                 1.3997,                 1.4184,                0.88304,                 1.4354,                0.77629,                0.74627,                0.79716,                0.40244,                 1.5416,                0.83986,                 1.5247,                 1.5674,                0.89736,                 1.5469,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.3575,                0.81105,                 1.4014,                  1.414,                0.88404,                 1.4356,                0.76347,                0.74212,                0.78746,                0.40233,                 1.5347,                0.83644,                 1.5169,                 1.5669,                0.89844,                 1.5406,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.3706,                0.81755,                 1.3988,                 1.4214,                0.89461,                 1.4308,                0.76147,                 0.7426,                0.78969,                0.40454,                 1.5374,                0.83054,                 1.5042,                 1.5652,                 0.8777,                 1.5226,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.3426,                0.79472,                 1.3829,                 1.3969,                0.85436,                 1.4169,                0.75593,                0.75458,                0.79429,                0.40466,                 1.5362,                  0.825,                 1.5106,                 1.5653,                0.88044,                 1.5288,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.3499,                 0.7951,                 1.3842,                 1.4046,                0.85903,                 1.4138,                0.76141,                 0.7362,                0.79391,                 0.4082,                 1.5355,                0.82009,                 1.5094,                 1.5666,                0.86872,                 1.5266,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.3412,                 0.7986,                 1.3856,                 1.4017,                 0.8631,                 1.4158,                0.76856,                0.74922,                 0.7981,                0.41101,                 1.5387,                0.80775,                 1.5075,                  1.563,                0.87208,                 1.5203,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3508,                0.80121,                 1.3917,                 1.4076,                0.86897,                 1.4269,                0.76542,                0.75163,                0.79468,                0.40504,                 1.5415,                0.81937,                 1.5272,                 1.5643,                0.87948,                 1.5498,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3438,                0.78725,                 1.3874,                 1.3967,                0.85782,                 1.4217,                0.73909,                0.76725,                0.79053,                0.40461,                 1.5337,                0.82299,                 1.5214,                 1.5613,                0.88672,                 1.5415,               0.009406,               0.009406,               0.009406
                     63,                 1.3524,                0.79219,                  1.392,                 1.4062,                 0.8615,                 1.4225,                0.76533,                0.75802,                0.79974,                 0.4115,                 1.5368,                0.81395,                 1.5144,                  1.562,                0.87105,                 1.5268,              0.0093961,              0.0093961,              0.0093961
                     64,                  1.327,                0.78197,                 1.3823,                 1.3821,                0.84714,                 1.4163,                0.76327,                0.75518,                 0.7916,                0.40754,                  1.535,                0.81929,                 1.5308,                 1.5623,                0.87932,                 1.5431,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.3427,                0.79414,                 1.3879,                 1.3977,                0.86454,                 1.4202,                 0.7654,                0.74776,                0.79055,                0.40625,                  1.536,                 0.8343,                 1.5177,                 1.5633,                0.88789,                 1.5368,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.3282,                0.78364,                  1.376,                 1.3786,                0.85627,                 1.4062,                0.73923,                0.76494,                0.78874,                 0.4039,                 1.5444,                0.81891,                 1.5252,                 1.5714,                0.87523,                 1.5382,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.3381,                0.78238,                 1.3725,                 1.3894,                0.85654,                 1.4043,                0.75307,                0.76632,                   0.79,                0.40616,                 1.5465,                0.81396,                 1.5232,                 1.5725,                0.87647,                  1.538,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.3314,                0.77934,                 1.3764,                 1.3847,                0.84543,                 1.4124,                0.75675,                0.76816,                0.79528,                0.40787,                 1.5464,                0.81611,                 1.5311,                 1.5704,                0.87596,                 1.5488,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.3324,                0.77013,                 1.3647,                 1.3864,                0.83158,                 1.3989,                0.76083,                0.75392,                0.79509,                0.40755,                  1.546,                0.81851,                 1.5232,                 1.5708,                0.87819,                 1.5382,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3294,                0.77534,                 1.3768,                 1.3811,                0.83684,                 1.4095,                0.76436,                0.75052,                 0.7981,                0.40425,                 1.5463,                0.81758,                 1.5309,                 1.5651,                0.88492,                 1.5451,              0.0093268,              0.0093268,              0.0093268
                     71,                  1.331,                0.77867,                 1.3765,                 1.3857,                0.84528,                 1.4126,                 0.7578,                0.76265,                0.79455,                0.40716,                 1.5436,                0.81941,                 1.5341,                 1.5619,                0.89643,                 1.5509,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.3202,                0.76984,                  1.375,                 1.3734,                0.83355,                 1.4076,                0.76905,                 0.7527,                0.79733,                 0.4096,                  1.539,                0.82025,                 1.5326,                 1.5613,                0.89609,                 1.5503,               0.009307,               0.009307,               0.009307
                     73,                 1.3108,                0.75856,                 1.3677,                 1.3653,                0.82329,                 1.4014,                0.75785,                0.76003,                0.79588,                0.40993,                 1.5422,                0.82056,                 1.5309,                 1.5683,                 0.9002,                 1.5487,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.3225,                0.77053,                 1.3661,                 1.3768,                0.83622,                 1.4036,                0.76663,                0.75836,                0.80406,                0.41186,                 1.5464,                 0.8202,                 1.5316,                 1.5713,                0.89228,                 1.5519,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.3195,                0.75292,                 1.3661,                  1.374,                0.80977,                  1.406,                0.78092,                0.74944,                 0.8009,                0.40857,                 1.5397,                0.81549,                  1.528,                 1.5693,                 0.8758,                 1.5546,              0.0092773,              0.0092773,              0.0092773
                     76,                  1.317,                 0.7634,                 1.3648,                 1.3751,                0.81807,                 1.4031,                 0.7658,                0.75664,                0.79397,                0.40659,                 1.5472,                 0.8247,                 1.5326,                 1.5784,                0.88481,                   1.56,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.3001,                0.74332,                 1.3559,                 1.3554,                0.79582,                 1.3925,                0.76755,                0.75682,                0.79018,                0.40435,                   1.55,                0.82511,                 1.5355,                 1.5789,                0.89005,                 1.5593,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.3181,                0.76524,                 1.3621,                 1.3726,                0.82735,                 1.4002,                0.75065,                 0.7677,                0.79498,                0.40712,                 1.5455,                0.82105,                 1.5355,                 1.5696,                0.88575,                 1.5571,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.3135,                0.75895,                 1.3707,                 1.3691,                0.81751,                 1.4072,                0.77083,                0.75629,                0.79352,                 0.4085,                  1.545,                0.81944,                 1.5404,                 1.5663,                0.89721,                 1.5608,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.3115,                0.75325,                 1.3713,                 1.3675,                0.81137,                 1.4086,                0.73796,                0.78827,                0.79421,                0.40654,                 1.5459,                0.81889,                 1.5436,                 1.5703,                  0.882,                 1.5653,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.2951,                 0.7396,                 1.3484,                 1.3513,                0.79808,                 1.3839,                0.76332,                0.76449,                0.79269,                0.40877,                 1.5435,                0.81548,                  1.535,                 1.5645,                0.87899,                 1.5558,              0.0092179,              0.0092179,              0.0092179
                     82,                  1.305,                0.75492,                 1.3561,                 1.3606,                0.81052,                 1.3924,                0.77188,                0.75766,                0.79451,                0.40798,                 1.5451,                0.81488,                 1.5355,                  1.572,                0.88168,                 1.5552,               0.009208,               0.009208,               0.009208
                     83,                  1.301,                0.74875,                 1.3615,                 1.3538,                0.80739,                 1.3944,                0.77452,                0.75772,                0.79334,                0.40825,                 1.5454,                0.81476,                 1.5393,                 1.5717,                0.88028,                 1.5555,              0.0091981,              0.0091981,              0.0091981
                     84,                  1.303,                0.74191,                 1.3565,                 1.3565,                0.79939,                 1.3911,                0.76235,                0.76661,                 0.7942,                0.40801,                 1.5468,                0.81374,                 1.5412,                 1.5737,                0.88089,                 1.5599,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3019,                0.74397,                 1.3598,                 1.3565,                0.79852,                 1.3947,                0.77308,                0.74968,                0.79465,                 0.4072,                 1.5419,                0.82088,                 1.5378,                 1.5699,                0.88887,                 1.5581,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.2952,                0.73284,                 1.3549,                 1.3491,                 0.7881,                 1.3876,                0.77763,                0.74342,                0.79243,                0.40502,                 1.5467,                0.81919,                 1.5409,                 1.5736,                0.88663,                 1.5606,              0.0091684,              0.0091684,              0.0091684
